Product Name,Product URL,Description,Price,Image URL,Local Image Path
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-60478169,"deep plate, matt green, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/859/0985913_PE816895_S4.jpg,product_images/b2d89a90e6990310c96f59edac75fd76.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477182,"serving plate, glass grey, 29 cm",199.9,https://www.ikea.com.hk/dairyfarm/hk/images/589/0958951_PE805531_S4.jpg,product_images/6765bb2da1d5f6202629030f822d9add.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00478172,"plate, stoneware grey, 27 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/858/0985879_PE816857_S4.jpg,product_images/fefee64b04cda7f54ca353ee4b50cfe9.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00485436,"deep plate, glossy brown, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/855/1085533_PE860138_S4.jpg,product_images/fa45a8736799925d945ee31742f364e1.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30477171,"plate, patterned/blue, 26 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/589/0958956_PE805535_S4.jpg,product_images/f7c43ba6b4259b85c510ccbdd33b94e7.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30478175,"plate, glossy brown, 30x18 cm",119.9,https://www.ikea.com.hk/dairyfarm/hk/images/858/0985888_PE816861_S4.jpg,product_images/2e4789a0db476a569a2705bc275bf1d8.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30479636,"plate, off-white, 26 cm",89.9,https://www.ikea.com.hk/dairyfarm/hk/images/097/1009761_PE827727_S4.jpg,product_images/3364a0b49c00ebab4c8212bb33f14a07.jpg
BACKIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/backig-art-00439048,"deep plate, stoneware pale grey-green, 23 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/144/0714491_PE730103_S4.jpg,product_images/10e18f9ab041b6994ec134235e194434.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477177,"deep plate, patterned/blue, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/589/0958961_PE805563_S4.jpg,product_images/1f53ef4523ebb11b1fde51857316036a.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00477182,"side plate, stoneware grey, 21 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/589/0958951_PE805531_S4.jpg,product_images/6765bb2da1d5f6202629030f822d9add.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00478172,"deep plate, stoneware grey, 23 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/858/0985879_PE816857_S4.jpg,product_images/fefee64b04cda7f54ca353ee4b50cfe9.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00485436,"side plate, glossy brown, 20 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/855/1085533_PE860138_S4.jpg,product_images/fa45a8736799925d945ee31742f364e1.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-00485455,"serving plate, patterned/blue, 34 cm",119.9,https://www.ikea.com.hk/dairyfarm/hk/images/876/1087692_PE860859_S4.jpg,product_images/850b3120ecb53af7066c3ae0afa154cc.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-10485445,"side plate, white, 20 cm",17.9,https://www.ikea.com.hk/dairyfarm/hk/images/876/1087682_PE860849_S4.jpg,product_images/35b4b82a158178f26d20f6769c648449.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30477171,"deep plate, glossy brown, 23 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/589/0958956_PE805535_S4.jpg,product_images/f7c43ba6b4259b85c510ccbdd33b94e7.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30478175,"deep plate, off-white, 22 cm",89.9,https://www.ikea.com.hk/dairyfarm/hk/images/858/0985888_PE816861_S4.jpg,product_images/2e4789a0db476a569a2705bc275bf1d8.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-30479636,"deep plate, matt light turquoise, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/097/1009761_PE827727_S4.jpg,product_images/3364a0b49c00ebab4c8212bb33f14a07.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-40485439,"side plate, flower pattern dark grey, 20 cm",34.9,https://www.ikea.com.hk/dairyfarm/hk/images/855/1085547_PE860145_S4.jpg,product_images/fea7306e6edc51adc1df7c9a4b1ad312.jpg
FÄRGKLAR,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/fargklar-art-60478169,"plate, white, 28 cm",39.9,https://www.ikea.com.hk/dairyfarm/hk/images/859/0985913_PE816895_S4.jpg,product_images/b2d89a90e6990310c96f59edac75fd76.jpg
GODMIDDAG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/godmiddag-art-60585027,"deep plate, glossy dark turquoise, 23 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/888/1288864_PE934298_S4.jpg,product_images/71471060535ef891133be6169ae0f5f1.jpg
GODMIDDAG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/godmiddag-art-80585031,"deep plate, glossy dark turquoise, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/229/1322920_PE942331_S4.jpg,product_images/a618c98ee73e214bc24dc87266642467.jpg
HÖSTAGILLE,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/hostagille-art-60575778,"deep plate, white, 19 cm",17.9,https://www.ikea.com.hk/dairyfarm/hk/images/915/1291592_PE934946_S4.jpg,product_images/1a6186a349ec100ffb9265e3ea94fb72.jpg
MOSSMAL,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/mossmal-art-10582781,"side plate, stoneware blue, 21 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/436/1343638_PE949603_S4.jpg,product_images/3ca64494fd2b8f3b99f1c7299e9482de.jpg
VINTERFINT,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/vinterfint-art-70580114,"plate, dark grey, 26 cm",149.9,https://www.ikea.com.hk/dairyfarm/hk/images/264/1326449_PE944237_S4.jpg,product_images/1565e98015f9267cadf95144e61a5344.jpg
OMBONAD,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/ombonad-art-40502957,"deep plate, black, 20x20 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/627/1062747_PE850979_S4.jpg,product_images/a495ecdc9fded201d1f79a8340316dee.jpg
PARADISISK,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/paradisisk-art-10483465,"deep plate, glossy beige, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/627/1062779_PE851004_S4.jpg,product_images/a4b8288aba3c53b1b9aa0d2a864b394e.jpg
PARADISISK,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/paradisisk-art-80451003,"deep plate, matt light pink, 19 cm",69.9,https://www.ikea.com.hk/dairyfarm/hk/images/627/1062784_PE851008_S4.jpg,product_images/ea1c4223d5696673832e97e45c483af5.jpg
SILVERSIDA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/silversida-art-10565687,"deep plate, matt light pink, 23 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/836/1183651_PE897520_S4.jpg,product_images/df25821dc8027d14ab8922f2edfaa5dc.jpg
SILVERSIDA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/silversida-art-90565693,"side plate, mixed colours, 17 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/836/1183657_PE897525_S4.jpg,product_images/825a9597735e1364611be2d4cfa08e50.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-40505687,"side plate, stoneware blue, 21 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/280/1028063_PE835197_S4.jpg,product_images/7860c3345d087db2fa0f4823596eed10.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-50505639,"deep plate, stoneware grey, 23 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/280/1028057_PE835194_S4.jpg,product_images/bfec98f23264d34425304837dc9e980b.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-60505648,"side plate, stoneware grey, 21 cm",99.9,https://www.ikea.com.hk/dairyfarm/hk/images/280/1028066_PE835198_S4.jpg,product_images/96ed15bffbcf213d062b319cba2df33f.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-90505642,"plate, stoneware grey, 27 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/280/1028060_PE835196_S4.jpg,product_images/1b8c9be4fc36bbf845f61343681fad31.jpg
STRIMMIG,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/strimmig-art-90567668,"deep plate, stoneware pale grey-green, 23 cm",129.9,https://www.ikea.com.hk/dairyfarm/hk/images/900/1290015_PE934465_S4.jpg,product_images/e15dccc94e6df5d0c7f7868be5570b01.jpg
UPPLAGA,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/upplaga-art-90424698,"plate, white, 28 cm",39.9,https://www.ikea.com.hk/dairyfarm/hk/images/145/0714553_PE730123_S4.jpg,product_images/88394f562551e4409206ad2d3e8a7846.jpg
VINTERFINT,https://www.ikea.com.hk/en/products/dining-and-serving/dinnerware-and-serving/vinterfint-art-70580114,"side plate, flower pattern dark grey, 20 cm",34.9,https://www.ikea.com.hk/dairyfarm/hk/images/264/1326449_PE944237_S4.jpg,product_images/1565e98015f9267cadf95144e61a5344.jpg
